,Frames,Frames_cout,TotalDe265,TotalDe265_cout,config,dev,file_name,fps,fps_cout,qp,tInput,tInput_cout,tKernel,tKernel_cout,tOutput,tOutput_cout,tTotal,tTotal_clk,tTotal_clk_cout,tTotal_cout,txFracl,txFracl_cout,tyFracl,tyFracl_cout,type,vid,tGenerateInterPredictionSamples,tGenerateInterPredictionSamples_clk,tMCLuma,tMCLuma_clk,tReadCodingUnit,tReadCodingUnit_clk
132,10.0,10.0,1.95209,1.95209,16-16,FPGA,OCL-FPGA_16-16_E_Johnny_1280x720_60_RA_27_0.out,5.12,5.12272,27,0.108087902,0.108088,0.437951968,0.437952,0.108979097,0.108979,1.952101516,1.82,1.82,1.9521,0.105646172,0.105646,0.105357493,0.105357,RA,Johnny,,,,,,
133,10.0,10.0,5.08675,5.08675,08-08,FPGA,OCL-FPGA_08-08_B_Kimono_1920x1080_24_RA_32_0.out,1.97,1.96589,32,0.245442259,0.245442,0.703545979,0.703546,0.23960261,0.239603,5.086767764,4.88,4.88,5.08677,0.241862856,0.241863,0.241552474,0.241552,RA,Kimono,,,,,,
134,10.0,,3.0918,,0-0,CPU,C-CPU_B_BasketballDrive_1920x1080_50_LD_22_0.out,3.23,,22,,,,,,,3.091812849045,3.099999904633,,,,,,,LD,BasketballDrive,0.0,0.0,0.0,0.0,0.0,0.0
135,10.0,10.0,5.99216,5.99216,64-16,FPGA,OCL-FPGA_64-16_E_KristenAndSara_1280x720_60_RA_37_0.out,1.67,1.66885,37,0.237035743,0.237036,3.597986107,3.59799,0.230546992,0.230547,5.992176326,3.05,3.05,5.99218,0.216043552,0.216044,0.214924369,0.214924,RA,KristenAndSara,,,,,,
136,10.0,10.0,4.35123,4.35123,64-64,FPGA,OCL-FPGA_64-64_B_ParkScene_1920x1080_24_LD_22_0.out,2.3,2.2982,22,0.040081737,0.0400817,0.85395102,0.853951,0.039015398,0.0390154,4.351250852,3.61,3.61,4.35125,0.035751326,0.0357513,0.035492397,0.0354924,LD,ParkScene,,,,,,
137,10.0,10.0,5.13527,5.13527,64-08,FPGA,OCL-FPGA_64-08_E_FourPeople_1280x720_60_LD_32_0.out,1.95,1.94732,32,0.257594564,0.257595,2.748561557,2.74856,0.251043107,0.251043,5.135288286,3.11,3.11,5.13529,0.243993501,0.243994,0.244696803,0.244697,LD,FourPeople,,,,,,
138,10.0,10.0,1.45895,1.45895,32-08,FPGA,OCL-FPGA_32-08_E_Johnny_1280x720_60_LD_37_0.out,6.85,6.85424,37,0.085847063,0.0858471,0.440950018,0.44095,0.082629452,0.0826295,1.458966488,1.29,1.29,1.45897,0.081162203,0.0811622,0.080695293,0.0806953,LD,Johnny,,,,,,
139,10.0,10.0,4.55451,4.55451,64-64,FPGA,OCL-FPGA_64-64_E_FourPeople_1280x720_60_RA_27_0.out,2.2,2.19563,27,0.125666645,0.125667,2.823335094,2.82334,0.122622009,0.122622,4.554524423,2.04,2.04,4.55452,0.113976676,0.113977,0.113402082,0.113402,RA,FourPeople,,,,,,
140,10.0,10.0,12.76715,12.7671,64-16,FPGA,OCL-FPGA_64-16_B_BQTerrace_1920x1080_60_LD_32_0.out,0.78,0.78326,32,0.641997882,0.641998,6.191973019,6.19197,0.612703762,0.612704,12.76716371,8.39,8.39,12.7672,0.616639351,0.616639,0.615003372,0.615003,LD,BQTerrace,,,,,,
141,10.0,10.0,2.9406,2.9406,16-08,FPGA,OCL-FPGA_16-08_E_KristenAndSara_1280x720_60_RA_27_0.out,3.4,3.40067,27,0.182254639,0.182255,0.722605417,0.722605,0.183729716,0.18373,2.940616135,2.81,2.81,2.94062,0.178340928,0.178341,0.17859361,0.178594,RA,KristenAndSara,,,,,,
142,10.0,10.0,3.94506,3.94506,64-32,FPGA,OCL-FPGA_64-32_E_KristenAndSara_1280x720_60_LD_27_0.out,2.53,2.53481,27,0.14796083,0.147961,2.264387588,2.26439,0.150247603,0.150248,3.945078018,2.08,2.08,3.94508,0.139225655,0.139226,0.139019007,0.139019,LD,KristenAndSara,,,,,,
143,10.0,10.0,4.65417,4.65417,16-16,FPGA,OCL-FPGA_16-16_B_ParkScene_1920x1080_24_LD_37_0.out,2.15,2.14861,37,0.276324956,0.276325,1.074975618,1.07498,0.271302271,0.271302,4.654181551,4.3,4.3,4.65418,0.264213588,0.264214,0.262917946,0.262918,LD,ParkScene,,,,,,
144,10.0,10.0,4.82266,4.82266,32-16,FPGA,OCL-FPGA_32-16_E_FourPeople_1280x720_60_RA_22_0.out,2.07,2.07354,22,0.30833682,0.308337,1.667099914,1.6671,0.288480743,0.288481,4.822671926,4.1,4.1,4.82267,0.302527172,0.302527,0.302176509,0.302177,RA,FourPeople,,,,,,
145,10.0,10.0,15.54338,15.5434,32-16,FPGA,OCL-FPGA_32-16_B_BQTerrace_1920x1080_60_LD_27_0.out,0.64,0.643361,27,1.040383189,1.04038,5.055222252,5.05522,0.992371917,0.992372,15.543392473,13.41,13.41,15.5434,0.984710636,0.984711,0.981693064,0.981693,LD,BQTerrace,,,,,,
146,10.0,10.0,1.58667,1.58667,16-16,FPGA,OCL-FPGA_16-16_E_Johnny_1280x720_60_RA_32_0.out,6.3,6.30249,32,0.083485873,0.0834859,0.338905038,0.338905,0.081370279,0.0813703,1.586688112,1.48,1.48,1.58669,0.082405302,0.0824053,0.082551953,0.082552,RA,Johnny,,,,,,
147,10.0,10.0,14.03135,14.0313,08-08,FPGA,OCL-FPGA_08-08_B_BQTerrace_1920x1080_60_LD_27_0.out,0.71,0.71269,27,1.065503597,1.0655,3.240504804,3.2405,1.070539556,1.07054,14.031362788,13.2,13.2,14.0314,1.040481762,1.04048,1.038293521,1.03829,LD,BQTerrace,,,,,,
148,10.0,10.0,19.21486,19.2149,64-08,FPGA,OCL-FPGA_64-08_B_Cactus_1920x1080_50_RA_37_0.out,0.52,0.52043,37,1.084403862,1.0844,9.295515769,9.29552,1.057581755,1.05758,19.214879703,12.68,12.68,19.2149,1.025560574,1.02556,1.024583832,1.02458,RA,Cactus,,,,,,
149,10.0,10.0,4.69484,4.69484,64-08,FPGA,OCL-FPGA_64-08_E_Johnny_1280x720_60_LD_32_0.out,2.13,2.13,32,0.220093673,0.220094,2.640472973,2.64047,0.208379125,0.208379,4.694856464,2.62,2.62,4.69486,0.214345297,0.214345,0.213638154,0.213638,LD,Johnny,,,,,,
150,10.0,10.0,8.04443,8.04443,16-08,FPGA,OCL-FPGA_16-08_B_Kimono_1920x1080_24_LD_32_0.out,1.24,1.2431,32,0.557307382,0.557307,1.96636427,1.96636,0.530406852,0.530407,8.044441875,7.45,7.45,8.04444,0.542623083,0.542623,0.542814115,0.542814,LD,Kimono,,,,,,
151,10.0,10.0,7.27994,7.27994,64-08,FPGA,OCL-FPGA_64-08_E_FourPeople_1280x720_60_RA_32_0.out,1.37,1.37364,32,0.355035104,0.355035,3.914462836,3.91446,0.336213733,0.336214,7.279955738,4.37,4.37,7.27996,0.339464081,0.339464,0.337517847,0.337518,RA,FourPeople,,,,,,
152,10.0,10.0,42.93678,42.9368,08-08,FPGA,OCL-FPGA_08-08_B_BQTerrace_1920x1080_60_RA_22_0.out,0.23,0.232901,22,3.548261886,3.54826,10.733487076,10.7335,3.485521927,3.48552,42.936794665,40.45,40.45,42.9368,3.428751378,3.42875,3.420815752,3.42082,RA,BQTerrace,,,,,,
153,10.0,10.0,1.93088,1.93088,16-16,FPGA,OCL-FPGA_16-16_E_FourPeople_1280x720_60_LD_27_0.out,5.18,5.17899,27,0.124207817,0.124208,0.533399685,0.5334,0.122498842,0.122499,1.930893829,1.77,1.77,1.93089,0.122502049,0.122502,0.12221841,0.122218,LD,FourPeople,,,,,,
154,10.0,10.0,3.04148,3.04148,32-16,FPGA,OCL-FPGA_32-16_E_FourPeople_1280x720_60_RA_27_0.out,3.29,3.28787,27,0.198358479,0.198358,0.93332429,0.933324,0.182382655,0.182383,3.041497662,2.62,2.62,3.0415,0.191885958,0.191886,0.191559472,0.191559,RA,FourPeople,,,,,,
155,10.0,10.0,21.33981,21.3398,16-16,FPGA,OCL-FPGA_16-16_B_BQTerrace_1920x1080_60_LD_22_0.out,0.47,0.468608,22,1.525380195,1.52538,5.910912194,5.91091,1.411187073,1.41119,21.339825676,19.59,19.59,21.3398,1.457860849,1.45786,1.453997653,1.454,LD,BQTerrace,,,,,,
156,10.0,10.0,25.14504,25.145,64-16,FPGA,OCL-FPGA_64-16_B_Kimono_1920x1080_24_RA_22_0.out,0.4,0.397693,22,1.559787128,1.55979,9.560210712,9.56021,1.555002328,1.555,25.145052088,19.82,19.82,25.1451,1.492727639,1.49273,1.49021411,1.49021,RA,Kimono,,,,,,
157,10.0,10.0,7.48806,7.48806,08-08,FPGA,OCL-FPGA_08-08_B_Cactus_1920x1080_50_RA_32_0.out,1.34,1.33546,32,0.524546322,0.524546,1.613134158,1.61313,0.500845251,0.500845,7.488076726,7.05,7.05,7.48808,0.4945066,0.494507,0.493064564,0.493065,RA,Cactus,,,,,,
158,10.0,10.0,10.2766,10.2766,64-32,FPGA,OCL-FPGA_64-32_B_BasketballDrive_1920x1080_50_LD_22_0.out,0.97,0.973084,22,0.418018838,0.418019,4.155869575,4.15587,0.414621377,0.414621,10.276619957,7.3,7.3,10.2766,0.400656978,0.400657,0.399718719,0.399719,LD,BasketballDrive,,,,,,
159,10.0,10.0,11.39358,11.3936,32-16,FPGA,OCL-FPGA_32-16_B_Cactus_1920x1080_50_RA_32_0.out,0.88,0.877687,32,0.734943105,0.734943,3.923344665,3.92334,0.72645509,0.726455,11.393596167,9.6,9.6,11.3936,0.708432998,0.708433,0.706166655,0.706167,RA,Cactus,,,,,,
160,10.0,10.0,11.59736,11.5974,32-08,FPGA,OCL-FPGA_32-08_B_BasketballDrive_1920x1080_50_RA_32_0.out,0.86,0.862265,32,0.763400234,0.7634,3.660586248,3.66059,0.743653113,0.743653,11.597370911,9.82,9.82,11.5974,0.721342885,0.721343,0.715055025,0.715055,RA,BasketballDrive,,,,,,
161,10.0,10.0,32.14208,32.1421,64-08,FPGA,OCL-FPGA_64-08_B_ParkScene_1920x1080_24_LD_27_0.out,0.31,0.311119,27,2.528114052,2.52811,11.116067768,11.1161,2.426546337,2.42655,32.142100162,27.07,27.07,32.1421,2.422103042,2.4221,2.420338675,2.42034,LD,ParkScene,,,,,,
162,10.0,10.0,4.90073,4.90073,08-08,FPGA,OCL-FPGA_08-08_B_BasketballDrive_1920x1080_50_RA_32_0.out,2.04,2.04051,32,0.236275287,0.236275,0.712308661,0.712309,0.22830777,0.228308,4.900746392,4.7,4.7,4.90075,0.226683963,0.226684,0.226121225,0.226121,RA,BasketballDrive,,,,,,
163,10.0,,0.51216,,0-0,CPU,C-CPU_E_Johnny_1280x720_60_LD_27_0.out,19.52,,27,,,,,,,0.512172937393,0.509999990463,,,,,,,LD,Johnny,0.0,0.0,0.0,0.0,0.0,0.0
164,10.0,10.0,9.0712,9.0712,32-16,FPGA,OCL-FPGA_32-16_B_ParkScene_1920x1080_24_RA_37_0.out,1.1,1.10239,37,0.528324452,0.528324,2.900260426,2.90026,0.515779709,0.51578,9.071212465,7.68,7.68,9.07121,0.510256174,0.510256,0.509162651,0.509163,RA,ParkScene,,,,,,
165,10.0,10.0,10.06585,10.0658,16-16,FPGA,OCL-FPGA_16-16_B_Cactus_1920x1080_50_RA_27_0.out,0.99,0.993458,27,0.663535121,0.663535,2.654344087,2.65434,0.609687473,0.609687,10.065868409,9.31,9.31,10.0659,0.65297193,0.652972,0.651430485,0.65143,RA,Cactus,,,,,,
166,10.0,10.0,9.21297,9.21297,32-16,FPGA,OCL-FPGA_32-16_B_BasketballDrive_1920x1080_50_RA_32_0.out,1.09,1.08543,32,0.525596449,0.525596,2.966042477,2.96604,0.511796417,0.511796,9.212984497,7.6,7.6,9.21298,0.488448623,0.488449,0.488362378,0.488362,RA,BasketballDrive,,,,,,
167,10.0,10.0,4.6691,4.6691,08-08,FPGA,OCL-FPGA_08-08_B_BQTerrace_1920x1080_60_RA_37_0.out,2.14,2.14174,37,0.21869622,0.218696,0.67090695,0.670907,0.221621073,0.221621,4.669116357,4.52,4.52,4.66912,0.213550534,0.213551,0.213301688,0.213302,RA,BQTerrace,,,,,,
168,10.0,,0.77451,,0-0,CPU,C-CPU_E_KristenAndSara_1280x720_60_RA_27_0.out,12.91,,27,,,,,,,0.774524986744,0.769999980927,,,,,,,RA,KristenAndSara,0.0,0.0,0.0,0.0,0.0,0.0
169,10.0,,3.91202,,0-0,CPU,C-CPU_B_Cactus_1920x1080_50_RA_22_0.out,2.56,,22,,,,,,,3.912028074265,3.910000085831,,,,,,,RA,Cactus,0.0,0.0,0.0,0.0,0.0,0.0
170,10.0,10.0,6.86479,6.86479,08-08,FPGA,OCL-FPGA_08-08_B_Kimono_1920x1080_24_RA_27_0.out,1.46,1.45671,27,0.370356336,0.370356,1.029475475,1.02948,0.354742625,0.354743,6.864803987,6.55,6.55,6.8648,0.367576196,0.367576,0.364971337,0.364971,RA,Kimono,,,,,,
171,10.0,10.0,18.00474,18.0047,64-16,FPGA,OCL-FPGA_64-16_B_Cactus_1920x1080_50_RA_32_0.out,0.56,0.555409,32,0.972355499,0.972355,8.774449863,8.77445,0.92961394,0.929614,18.004754099,11.77,11.77,18.0048,0.944691996,0.944692,0.939713852,0.939714,RA,Cactus,,,,,,
172,10.0,10.0,4.99195,4.99195,32-32,FPGA,OCL-FPGA_32-32_B_Cactus_1920x1080_50_RA_37_0.out,2.0,2.00323,37,0.223800095,0.2238,1.690023458,1.69002,0.205911942,0.205912,4.991964201,3.97,3.97,4.99196,0.21098638,0.210986,0.209496527,0.209497,RA,Cactus,,,,,,
173,10.0,,0.74097,,0-0,CPU,C-CPU_E_Johnny_1280x720_60_LD_22_0.out,13.5,,22,,,,,,,0.740980923176,0.740000009537,,,,,,,LD,Johnny,0.0,0.0,0.0,0.0,0.0,0.0
174,10.0,10.0,0.94899,0.948989,08-08,FPGA,OCL-FPGA_08-08_E_Johnny_1280x720_60_LD_27_0.out,10.54,10.5375,27,0.04080369,0.0408037,0.117265,0.117265,0.039093996,0.039094,0.949005858,0.91,0.91,0.949006,0.04018953,0.0401895,0.040205179,0.0402052,LD,Johnny,,,,,,
175,10.0,10.0,6.44591,6.44591,64-08,FPGA,OCL-FPGA_64-08_E_FourPeople_1280x720_60_RA_37_0.out,1.55,1.55137,37,0.27347693,0.273477,3.727977441,3.72798,0.255443995,0.255444,6.445924031,3.49,3.49,6.44592,0.261377073,0.261377,0.260449943,0.26045,RA,FourPeople,,,,,,
176,10.0,10.0,4.76835,4.76835,64-64,FPGA,OCL-FPGA_64-64_E_FourPeople_1280x720_60_RA_37_0.out,2.1,2.09716,37,0.138576919,0.138577,3.065773925,3.06577,0.136311458,0.136311,4.768362717,2.06,2.06,4.76836,0.124851665,0.124852,0.123864362,0.123864,RA,FourPeople,,,,,,
177,10.0,,3.36973,,0-0,CPU,C-CPU_B_Kimono_1920x1080_24_LD_22_0.out,2.97,,22,,,,,,,3.369744539261,3.369999885559,,,,,,,LD,Kimono,0.0,0.0,0.0,0.0,0.0,0.0
178,10.0,10.0,6.7456,6.7456,64-64,FPGA,OCL-FPGA_64-64_B_ParkScene_1920x1080_24_RA_22_0.out,1.48,1.48245,22,0.097065468,0.0970655,2.141012262,2.14101,0.096143744,0.0961437,6.745618669,4.88,4.88,6.74562,0.088855147,0.0888551,0.088652621,0.0886526,RA,ParkScene,,,,,,
179,10.0,10.0,2.90285,2.90285,64-64,FPGA,OCL-FPGA_64-64_E_Johnny_1280x720_60_LD_27_0.out,3.44,3.44489,27,0.078632889,0.0786329,1.741704759,1.7417,0.074320629,0.0743206,2.902869332,1.4,1.4,2.90287,0.073988842,0.0739888,0.073670935,0.0736709,LD,Johnny,,,,,,
180,10.0,10.0,16.33204,16.332,16-08,FPGA,OCL-FPGA_16-08_B_ParkScene_1920x1080_24_RA_32_0.out,0.61,0.612293,32,1.288883455,1.28888,4.063311281,4.06331,1.220474107,1.22047,16.33205724,15.06,15.06,16.3321,1.241682543,1.24168,1.234824503,1.23482,RA,ParkScene,,,,,,
181,10.0,10.0,6.90413,6.90413,32-32,FPGA,OCL-FPGA_32-32_B_BQTerrace_1920x1080_60_LD_27_0.out,1.45,1.44841,27,0.283835097,0.283835,2.091461866,2.09146,0.253738584,0.253739,6.904148247,5.64,5.64,6.90415,0.271195806,0.271196,0.269103285,0.269103,LD,BQTerrace,,,,,,
182,10.0,10.0,2.6436,2.6436,64-64,FPGA,OCL-FPGA_64-64_E_FourPeople_1280x720_60_LD_22_0.out,3.78,3.78273,22,0.061138733,0.0611387,1.450197818,1.4502,0.06326783,0.0632678,2.643609833,1.38,1.38,2.64361,0.056868464,0.0568685,0.056715001,0.056715,LD,FourPeople,,,,,,
183,10.0,10.0,12.684,12.684,32-32,FPGA,OCL-FPGA_32-32_B_Kimono_1920x1080_24_RA_22_0.out,0.79,0.788395,22,0.576968046,0.576968,4.343162294,4.34316,0.574425558,0.574426,12.684016382,10.08,10.08,12.684,0.557461538,0.557462,0.5562372,0.556237,RA,Kimono,,,,,,
184,10.0,10.0,42.3031,42.3031,64-08,FPGA,OCL-FPGA_64-08_B_Cactus_1920x1080_50_LD_22_0.out,0.24,0.236389,22,3.370397177,3.3704,13.5597028,13.5597,3.307632299,3.30763,42.303111346,37.34,37.34,42.3031,3.279014798,3.27901,3.282260993,3.28226,LD,Cactus,,,,,,
185,10.0,10.0,7.41753,7.41753,32-32,FPGA,OCL-FPGA_32-32_B_ParkScene_1920x1080_24_LD_22_0.out,1.35,1.34816,22,0.272419308,0.272419,2.139454403,2.13945,0.28531472,0.285315,7.417548824,6.14,6.14,7.41755,0.257592568,0.257593,0.256553125,0.256553,LD,ParkScene,,,,,,
186,10.0,10.0,18.47633,18.4763,64-08,FPGA,OCL-FPGA_64-08_B_Cactus_1920x1080_50_LD_32_0.out,0.54,0.541233,32,1.220204666,1.2202,7.709837125,7.70984,1.244994097,1.24499,18.476351229,13.84,13.84,18.4764,1.168218585,1.16822,1.167690618,1.16769,LD,Cactus,,,,,,
187,10.0,10.0,14.31873,14.3187,16-16,FPGA,OCL-FPGA_16-16_B_Kimono_1920x1080_24_RA_22_0.out,0.7,0.698386,22,0.878330031,0.87833,3.552518673,3.55252,0.866101072,0.866101,14.318765428,13.33,13.33,14.3188,0.861831575,0.861832,0.864690449,0.86469,RA,Kimono,,,,,,
188,10.0,,0.60346,,0-0,CPU,C-CPU_E_Johnny_1280x720_60_RA_32_0.out,16.57,,32,,,,,,,0.603471338749,0.610000014305,,,,,,,RA,Johnny,0.0,0.0,0.0,0.0,0.0,0.0
189,10.0,10.0,45.7778,45.7778,32-08,FPGA,OCL-FPGA_32-08_B_Cactus_1920x1080_50_RA_22_0.out,0.22,0.218446,22,3.590795692,3.5908,14.18519868,14.1852,3.795785945,3.79579,45.77781559,41.15,41.15,45.7778,3.434005354,3.43401,3.419074134,3.41907,RA,Cactus,,,,,,
190,10.0,10.0,7.53077,7.53077,32-08,FPGA,OCL-FPGA_32-08_E_Johnny_1280x720_60_RA_22_0.out,1.33,1.32789,22,0.524070261,0.52407,2.448800705,2.4488,0.526026084,0.526026,7.530782293,6.48,6.48,7.53078,0.515799491,0.515799,0.515453211,0.515453,RA,Johnny,,,,,,
